lga_name_2021_asgs, fid, sep_21, lga_code_2021_asgs, mar_21, jun_21, jun_20, dec_20, jun_19, dec_19, mar_19, sep_20, sep_19, mar_20
"Banyule (C)",133,70902,"20660",69890,70429,72096,70201,71732,72743,71607,70962,72347,72960
"Bass Coast (S)",134,16215,"20740",15810,16245,15963,16047,16159,16109,16208,15952,16065,16147
"Baw Baw (S)",135,26642,"20830",25981,26694,26303,26370,26709,26604,26803,26251,26542,26635
"Bayside (C)",136,56151,"20910",55698,56147,56445,55719,56956,57586,56177,55872,57536,57395
"Boroondara (C)",138,108448,"21110",106731,107406,106059,106387,104932,103921,104991,105798,104220,105376
"Brimbank (C)",139,106299,"21180",102043,104263,104970,100765,104533,107301,103172,102206,106122,107193
"Cardinia (S)",142,65777,"21450",64055,64633,64877,63878,61583,64080,60794,64002,62913,64913
"Casey (C)",143,200887,"21610",195609,197374,198714,195060,189975,196938,187940,195735,193686,199133
"Darebin (C)",147,94896,"21890",93728,94381,94892,93993,92715,94451,92366,94297,93716,95136
"Frankston (C)",149,76093,"22170",77220,76143,80901,78811,77621,79366,76665,79652,78698,80830
"Glen Eira (C)",151,86495,"22310",85797,86489,86906,85829,87400,88637,86068,86044,88423,88350
"Greater Dandenong (C)",155,83141,"22670",80945,81672,83443,80713,82150,83918,81920,81597,83110,84226
"Greater Geelong (C)",156,142456,"22750",140483,140786,131357,137578,128644,128789,126842,135062,128423,128325
"Hepburn (S)",158,8085,"22910",8050,8072,7973,8095,7363,7679,7433,8086,7418,7765
"Hobsons Bay (C)",160,54993,"23110",52679,53880,54010,51993,54631,55488,54234,52642,55189,55059
"Hume (C)",162,116389,"23270",114708,115634,114982,114621,111500,113143,109908,115063,111620,115409
"Kingston (C) (Vic.)",164,91372,"23430",90266,91017,91816,90235,92073,93381,90991,90646,93081,93212
"Knox (C)",165,86054,"23670",85870,85357,90410,86915,92754,91715,92615,88621,92398,91313
"Macedon Ranges (S)",168,27138,"24130",26405,26806,26558,26321,26673,26607,26417,26472,26479,26798
"Manningham (C)",169,67226,"24210",66373,66612,66541,66380,65926,65447,65849,66242,65618,66227
"Mansfield (S)",170,5166,"24250",5123,5150,4884,5103,4325,4521,4263,5004,4430,4744
"Maribyrnong (C)",171,58567,"24330",56110,57386,57299,55379,56146,58168,55181,55955,57287,58308
"Maroondah (C)",172,61577,"24410",61442,61078,64624,62192,66115,65473,65972,63380,65909,65232
"Melbourne (C)",173,115622,"24600",114570,115185,113384,114682,107150,110945,105924,114043,109169,112235
"Melton (C)",174,88285,"24650",84633,86530,85407,83550,81769,85634,79901,83910,83874,86428
"Mitchell (S)",176,25885,"24850",25592,25764,25066,25579,22993,23963,22656,25323,23519,24721
"Monash (C)",178,107894,"24970",105151,106097,107851,104873,105501,108008,104962,105752,106907,108656
"Moonee Valley (C)",179,75739,"25060",74878,75358,75145,74915,73211,74281,72767,75109,73623,75101
"Moorabool (S)",180,19344,"25150",18785,19080,18840,18663,17938,18658,17778,18711,18241,18817
"Moreland (C)",181,109745,"25250",108509,109220,108629,108528,105546,107213,104799,108684,106191,108496
"Mornington Peninsula (S)",182,81239,"25340",82436,81289,86175,84133,82290,84347,81177,84936,83534,86000
"Mount Alexander (S)",183,9633,"25430",9149,9419,9058,9063,9378,9230,9274,9048,9252,9153
"Murrindindi (S)",185,7777,"25620",7696,7745,7568,7684,7070,7267,7019,7632,7181,7476
"Nillumbik (S)",186,37968,"25710",37427,37715,38605,37593,38557,38955,38561,38000,38815,39067
"Port Phillip (C)",188,81133,"25900",80384,80830,80280,80450,77454,79205,77059,80373,78428,79850
"Queenscliffe (B)",190,1421,"26080",1401,1404,1289,1372,null,null,null,1336,null,1249
"South Gippsland (S)",191,14338,"26170",13983,14367,14263,14193,14655,14514,14748,14182,14522,14492
"Stonnington (C)",193,75992,"26350",75320,75801,75548,75372,74171,75394,73649,75370,74964,75688
"Surf Coast (S)",195,19588,"26490",19317,19359,17914,18918,17348,17422,17079,18496,17345,17422
"Whitehorse (C)",202,96176,"26980",95108,95309,95978,95300,95404,94768,95224,95369,95030,95696
"Whittlesea (C)",203,122178,"27070",120447,121376,122392,120959,118580,121700,117633,121369,120305,123001
"Wyndham (C)",205,151306,"27260",145028,148295,145693,143133,137005,145155,133063,143408,141384,147161
"Yarra (C)",206,72957,"27350",72286,72684,71882,72348,68847,70664,68367,72121,69841,71339
"Yarra Ranges (S)",207,82671,"27450",82490,82000,86839,83489,88987,88069,88817,85122,88686,87705
"Unincorporated Vic",209,513,"29399",508,512,491,507,null,null,null,500,null,480
