lga_name_2021_asgs, fid, sep_21, lga_code_2021_asgs, mar_21, jun_21, jun_20, dec_20, jun_19, dec_19, mar_19, sep_20, sep_19, mar_20
"Banyule (C)",133,4.5,"20660",5.5,5.19999980926514,3.59999990463257,5.09999990463257,3.29999995231628,3.20000004768372,3.5,4.30000019073486,3.29999995231628,3.20000004768372
"Bass Coast (S)",134,6.30000019073486,"20740",6.30000019073486,6.59999990463257,4.40000009536743,6.0,3.70000004768372,3.59999990463257,4.80000019073486,4.80000019073486,3.59999990463257,3.79999995231628
"Baw Baw (S)",135,4.19999980926514,"20830",4.19999980926514,4.40000009536743,2.90000009536743,4.09999990463257,2.59999990463257,2.40000009536743,3.40000009536743,3.29999995231628,2.40000009536743,2.5
"Bayside (C)",136,3.59999990463257,"20910",5.0,4.40000009536743,3.70000004768372,5.0,2.79999995231628,2.79999995231628,2.79999995231628,4.30000019073486,2.79999995231628,3.0
"Boroondara (C)",138,4.5,"21110",4.80000019073486,4.59999990463257,3.70000004768372,4.30000019073486,2.90000009536743,3.09999990463257,2.90000009536743,3.79999995231628,3.0,3.29999995231628
"Brimbank (C)",139,9.0,"21180",11.1999998092651,10.3000001907349,9.5,11.3000001907349,8.60000038146973,8.39999961853027,8.80000019073486,10.3000001907349,8.39999961853027,8.89999961853027
"Cardinia (S)",142,6.0,"21450",7.0,6.19999980926514,6.90000009536743,7.0,4.90000009536743,5.90000009536743,4.90000009536743,6.90000009536743,5.5,6.30000019073486
"Casey (C)",143,6.80000019073486,"21610",7.90000009536743,7.0,7.69999980926514,7.90000009536743,5.30000019073486,6.5,5.30000019073486,7.69999980926514,6.0,6.90000009536743
"Darebin (C)",147,6.59999990463257,"21890",7.69999980926514,7.40000009536743,5.59999990463257,7.19999980926514,5.19999980926514,5.09999990463257,5.5,6.40000009536743,5.09999990463257,5.09999990463257
"Frankston (C)",149,5.69999980926514,"22170",6.30000019073486,6.19999980926514,6.30000019073486,6.19999980926514,5.30000019073486,6.09999990463257,5.40000009536743,6.30000019073486,5.69999980926514,6.0
"Glen Eira (C)",151,4.40000009536743,"22310",5.80000019073486,5.19999980926514,4.19999980926514,5.80000019073486,3.09999990463257,3.20000004768372,3.09999990463257,4.90000009536743,3.29999995231628,3.5
"Greater Dandenong (C)",155,8.5,"22670",9.89999961853027,8.80000019073486,10.3000001907349,10.1000003814697,7.69999980926514,9.19999980926514,7.90000009536743,10.1999998092651,8.60000038146973,9.60000038146973
"Greater Geelong (C)",156,3.59999990463257,"22750",4.59999990463257,4.19999980926514,4.09999990463257,4.80000019073486,6.69999980926514,4.90000009536743,6.80000019073486,4.69999980926514,6.0,4.19999980926514
"Hepburn (S)",158,4.30000019073486,"22910",5.90000009536743,5.59999990463257,3.09999990463257,5.5,3.0,2.79999995231628,3.20000004768372,4.30000019073486,3.0,2.29999995231628
"Hobsons Bay (C)",160,4.90000009536743,"23110",6.30000019073486,5.69999980926514,5.0,6.19999980926514,4.19999980926514,4.19999980926514,4.40000009536743,5.59999990463257,4.19999980926514,4.5
