geography_name,rai_cityadjusted_total_2011_q2,rai_cityadjusted_total_2011_q3,rai_cityadjusted_total_2020_q1,rai_cityadjusted_total_2011_q1,state,rai_cityadjusted_total_2019_q4,rai_cityadjusted_total_2020_q3,rai_cityadjusted_total_2020_q2,rai_cityadjusted_total_2011_q4,rai_cityadjusted_total_2020_q4,city,unique_id,rai_cityadjusted_total_2017_q4,rai_cityadjusted_total_2017_q3,rai_cityadjusted_total_2017_q2,rai_cityadjusted_total_2018_q1,rai_cityadjusted_total_2018_q2,rai_cityadjusted_total_2013_q1,rai_cityadjusted_total_2021_q2,rai_cityadjusted_total_2021_q1,rai_cityadjusted_total_2013_q3,rai_cityadjusted_total_2013_q2,rai_cityadjusted_total_2013_q4,rai_cityadjusted_total_2017_q1,rai_cityadjusted_total_2018_q4,rai_cityadjusted_total_2018_q3,rai_cityadjusted_total_2019_q3,rai_cityadjusted_total_2019_q2,rai_cityadjusted_total_2019_q1,rai_cityadjusted_total_2016_q3,rai_cityadjusted_total_2016_q4,rai_cityadjusted_total_2016_q1,rai_cityadjusted_total_2016_q2,rai_cityadjusted_total_2015_q2,rai_cityadjusted_total_2012_q2,rai_cityadjusted_total_2015_q3,rai_cityadjusted_total_2012_q1,rai_cityadjusted_total_2014_q3,rai_cityadjusted_total_2012_q4,rai_cityadjusted_total_2015_q1,rai_cityadjusted_total_2014_q4,rai_cityadjusted_total_2012_q3,rai_cityadjusted_total_2014_q1,rai_cityadjusted_total_2014_q2,rai_cityadjusted_total_2015_q4
"3111",104.2632,108.1731,110.1662,99.10335,"VIC",109.6154,128.2051,121.7949,110.2401,133.3926,"Greater Melbourne",1407,105.9655,118.007,115.3846,120.7513,104.8951,118.3432,113.1222,113.1222,119.8801,113.9601,115.3846,115.3846,120.7513,103.8462,109.6154,119.1472,115.3846,111.451,108.9744,118.165,119.606,111.2141,101.81,100.3344,109.5424,102.5641,119.8801,113.9601,109.8901,109.5424,115.3846,108.5973,102.1635
"3113",94.06355,96.15385,91.34615,null,"VIC",null,null,89.1182,110.2401,96.96186,"Greater Melbourne",1408,103.8462,null,105.9655,89.52255,86.53846,95.16257,115.3846,90.49774,97.16599,90.49774,92.30769,null,null,78.37446,91.34615,109.6154,85.1198,72.91965,null,98.07692,null,100.3344,83.21006,90.49774,91.09312,90.49774,null,83.91608,100.3344,94.06355,97.16599,96.15385,null
"3000",98.33916,98.33916,109.6154,93.91771,"VIC",109.6154,144.2308,137.0192,100.6261,164.8352,"Greater Melbourne",1310,105.9655,108.1731,103.8462,108.3989,105.9655,100.3344,164.8352,160.2564,108.5973,107.3345,114.8106,110.4746,103.8462,104.8951,112.0812,109.6154,105.9655,108.9744,106.6054,108.9744,108.9744,102.5641,95.09721,102.5641,97.23423,107.3345,103.7165,102.7925,107.3345,96.15385,102.5641,102.5641,114.0429
"3027",121.8852,131.1189,128.9593,120.5511,"VIC",130.4945,142.4501,130.4945,127.2624,135.7466,"Greater Melbourne",1332,120.7513,123.6264,123.6264,120.7513,120.7513,123.0769,137.3626,140.7129,124.7401,131.8681,124.7401,123.6264,120.7513,123.6264,127.4597,127.4597,123.6264,121.0826,116.7582,119.606,122.5962,115.3846,123.6264,115.3846,123.6264,115.3846,131.8681,119.8801,124.7401,127.2624,121.4575,119.8801,120.3398
"3028",149.2042,149.2042,152.2436,139.2573,"VIC",152.2436,160.2564,156.5934,149.2042,164.8352,"Greater Melbourne",1333,148.3516,148.3516,152.7149,148.3516,146.2622,159.1512,164.8352,167.2241,153.8462,159.1512,153.8462,157.3427,146.2622,148.3516,152.2436,152.2436,148.3516,152.0572,148.6014,148.6014,153.2452,148.8834,149.2042,144.2308,149.2042,151.3241,159.1512,153.8462,148.8834,149.2042,153.8462,148.8834,153.2452
"3033",131.1189,123.6264,121.7949,115.3846,"VIC",125.9947,128.2051,128.9593,125.4181,128.2051,"Greater Melbourne",1338,126.6417,125.1158,129.8077,118.007,122.1719,131.8681,142.4501,131.1189,131.8681,135.7466,130.0108,129.8077,123.6264,122.1719,124.5629,121.7949,115.3846,124.148,125.7396,125.7396,129.0486,124.7401,123.6264,118.3432,123.6264,124.7401,137.7727,121.4575,119.1067,127.0886,128.2051,128.2051,122.5962
"3034",135.2163,131.1189,130.4945,118.7783,"VIC",130.4945,132.626,138.7537,135.2163,144.2308,"Greater Melbourne",1339,129.8077,129.8077,133.1361,129.8077,123.6264,131.8681,144.2308,136.5498,133.7793,133.7793,135.7466,129.8077,123.6264,125.1158,137.0192,127.4597,123.6264,128.2051,129.0486,132.5364,125.7396,127.321,123.6264,128.2051,127.2624,128.2051,135.7466,128.2051,128.2051,129.1619,124.7401,127.321,134.3519
"3036",123.6264,null,132.0667,null,"VIC",135.3276,131.1189,137.0192,123.6264,144.2308,"Greater Melbourne",1340,118.007,133.995,139.3908,108.1731,115.3846,123.0769,138.1852,137.3626,124.7401,118.3432,121.4575,129.8077,123.6264,null,129.7223,122.4753,123.6264,103.2389,118.165,122.5962,114.7099,null,116.9439,104.8951,121.8852,124.7401,130.0108,115.3846,128.2051,113.8664,118.3432,125.5887,132.5364
"3002",96.15385,98.33916,101.4957,93.37483,"VIC",99.65035,121.4575,110.7226,98.33916,128.2051,"Greater Melbourne",1311,102.3115,115.3846,107.0579,102.818,108.1731,104.8951,121.4575,128.2051,98.19967,99.25558,102.5641,108.7394,109.8901,105.9655,94.49602,109.6154,103.8462,105.4591,105.4591,108.9744,99.0676,98.19967,91.09312,99.25558,96.15385,107.3345,94.19152,102.5641,98.19967,96.15385,100.3257,93.71339,101.6341
"3003",97.23423,100.6261,107.4661,88.7574,"VIC",109.6154,144.2308,121.7949,81.64006,152.0219,"Greater Melbourne",1312,108.1731,116.6811,115.3846,108.1731,112.8763,100.1711,160.2564,153.8462,102.5641,97.16599,102.5641,120.7513,118.007,108.1731,118.5031,110.7226,112.8763,108.9744,108.9744,114.0429,111.451,102.5641,89.21491,103.7165,94.06355,107.3345,100.3344,102.5641,102.5641,90.14423,113.9601,99.25558,119.606
